row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
133,EPIC 201713348 c,,0.25,5.34059,2015
134,EPIC 203826436 b,,0.144,4.44117,2015
135,EPIC 203826436 c,,0.245,6.42904,2015
136,EPIC 203826436 d,,0.244,14.09189,2015
137,EPIC 204221263 b,,0.138,4.01593,2016
138,EPIC 204221263 c,,0.216,10.56103,2016
139,EPIC 210894022 b,0.027,0.17,5.35117,2017
140,EPIC 211331236 b,,0.181,1.291563,2017
141,EPIC 211331236 c,,0.173,5.44425,2017
142,EPIC 211391664 b,0.101,0.38,10.13675,2016
143,EPIC 211418729 b,1.85,0.942,11.39109,2017
144,EPIC 211442297 b,0.84,1.115,20.273034,2017
145,EPIC 211822797 b,,0.2,21.169619,2016
146,EPIC 211913977 b,,0.18,14.677286,2016
147,EPIC 211924657 b,,0.2,2.644646,2017
148,EPIC 211969807 b,,0.17,1.97419,2016
149,EPIC 211970147 b,,0.12,9.915615,2016
150,EPIC 211990866 b,,0.31,1.673916,2016
151,EPIC 212006344 b,,0.109,2.219315,2017
152,EPIC 213715787 b,,0.123,0.961917,2017
153,EPIC 216468514 b,0.84,1.44,3.31392,2016
154,EPIC 219388192 b,36.5,0.937,5.292569,2016
155,EPIC 220194974 b,,0.119,4.38395,2017
156,EPIC 220194974 c,,0.154,6.9226,2017
157,EPIC 220194974 d,,0.146,9.7579,2017
158,EPIC 220504338,1.28,0.91,5.817712,2016
159,EPIC 220522664 b,,0.146,11.332,2017
160,EPIC 220598331 b,,0.178,10.59357,2017
161,EPIC 220621087 b,,0.12,3.835592,2017
162,EPIC 228735255 b,1.019,1.095,6.5693,2017
163,EPIC 228754001 b,0.495,1.089,9.1708,2017
164,EPIC 228934525 b,,0.199,3.67635,2017
165,EPIC 228934525 c,,0.187,7.95478,2017
166,EPIC 246393474 b,0.0167,0.137,0.2803226,2017
167,EPIC-206011691 b,,0.142,9.32414,2015
168,EPIC-206011691 c,,0.171,15.5012,2015
169,EPIC-210490365 b,,0.306,3.484552,2015
170,FL Lyr b,9,,4400,2015
171,FU Tau b,15,,,2009
172,FW Tau b,10,,,2013
173,Fomalhaut b,3,,320000,2008
174,GJ 1132 b,0.0051,0.103,1.62893,2015
175,GJ 1214 b,0.020325331,0.23820187,1.58040482,2009
176,GJ 15 A b,0.016832898,,11.4433,2014
177,GJ 160.2 b,0.032092628,,5.2354,2014
178,GJ 163 b,0.0334,,8.633,2012
179,GJ 163 c,0.02285,,25.645,2012
180,GJ 163 d,0.06945,,600.895,2013
181,GJ 176 b,0.0265,,8.7836,2007
182,GJ 179 b,0.82,,2288,2010
183,GJ 180 b,0.02611459,,17.38,2014
184,GJ 180 c,0.020136551,,24.329,2014
185,GJ 229 A b,0.100682755,,471,2014
186,GJ 229 B,35,,,1995
187,GJ 27.1 b,0.040902369,,15.819,2014
188,GJ 273 b,0.00909,,18.6498,2017
189,GJ 273 c,0.00371,,4.7234,2017
190,GJ 3021 b,3.37,,133.71,2000
191,GJ 3138 b,0.0132,,5.974,2017
192,GJ 3138 c,0.0056,,1.22003,2017
193,GJ 3138 d,0.033,,257.8,2017
194,GJ 317 b,2.56,,692,2007
195,GJ 317 c,2,,7300,2007
196,GJ 328 b,2.3,,4100,2013
197,GJ 3293 b,0.07406,,30.5987,2014
198,GJ 3293 c,0.06636,,122.6196,2014
199,GJ 3293 d,0.024,,48.1345,2014
200,GJ 3293 e,0.0103,,13.2543,2017
201,GJ 3323 b,0.00636,,5.3636,2017
202,GJ 3323 c,0.00727,,40.54,2017
203,GJ 3341 b,0.35717,,14.207,2014
204,GJ 3470 b,0.043753329,0.373807429,3.33671,2012
205,GJ 3634 b,0.026,,2.64561,2011
206,GJ 3942 b,0.0225,,6.905,2017
207,GJ 3998 b,0.00777,,2.64977,2016
208,GJ 3998 c,0.0197,,13.74,2016
209,GJ 422 b,0.031148727,,26.161,2014
210,GJ 433 b,0.01667,,7.3697,2009
211,GJ 433 c,0.14,,3693,2012
212,GJ 436 b,0.07,0.38,2.64394,2004
213,GJ 504 b,4,0.96,,2013
214,GJ 536 b,0.0169,,8.7076,2016
215,GJ 570 D,42.5,0.855,,2000
216,GJ 581 b,0.05,,5.36865,2005
217,GJ 581 c,0.017,,12.9182,2007
218,GJ 581 e,0.0061,,3.14945,2009
219,GJ 625 b,0.0095,,14.638,2017
220,GJ 649 b,0.328,,598.3,2009
221,GJ 649 c,0.03,,4.4762,2013
222,GJ 667 C b,0.0176,,7.2004,2009
223,GJ 667 C c,0.012,,28.14,2011
224,GJ 667 C d,0.01604,,91.61,2012
225,GJ 667 C e,0.0085,,62.24,2013
226,GJ 667 C f,0.0085,,39.026,2013
227,GJ 667 C g,0.0145,,256.2,2013
228,GJ 674 b,0.04,1.13,4.6944,2007
