row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
576,HD 181433 b,0.0238,,9.3743,2008
577,HD 181433 c,0.64,,962,2008
578,HD 181433 d,0.54,,2172,2008
579,HD 181720 b,12,,956,2009
580,HD 183263 b,3.67,,626.5,2004
581,HD 183263 c,3.82,,2950,2008
582,HD 185269 b,0.94,,6.838,2006
583,HD 187085 b,0.75,,986,2006
584,HD 187123 b,0.52,,3.0965828,1998
585,HD 187123 c,1.99,,3810,1998
586,HD 18742 b,2.7,,772,2011
587,HD 188015 b,1.26,,456.46,2004
588,HD 189567 b,0.0316,,14.275,2011
589,HD 189733 b,1.142,1.138,2.21857312,2005
590,HD 190228 b,65.7,,1146,2002
591,HD 190360 b,1.495,,2867.9,2003
592,HD 190360 c,0.06381,,17.1186,2005
593,HD 190647 b,1.9,,1038.1,2007
594,HD 190984 b,3.1,,4885,2009
595,HD 191806 b,8.52,,1606.3,2016
596,HD 192263 b,0.733,,24.3587,1999
597,HD 192699 b,2.5,,351.5,2007
598,HD 19467 b,52,,,2016
599,HD 195019 b,3.7,,18.20163,1998
600,HD 195689 b,,,1.48,2017
601,HD 196050 b,2.83,,1316.24,2002
602,HD 196067 b,6.9,,3638,2011
603,HD 196885 A b,2.98,,1326,2007
604,HD 197037 b,0.79,,1035.7,2012
605,HD 19994 b,1.68,,535.7,2003
606,HD 20003 b,0.0378,,11.849,2011
607,HD 20003 c,0.0422,,33.823,2011
608,HD 200964 b,1.85,,613.8,2010
609,HD 200964 c,0.895,,825,2010
610,HD 202206 B,93.6,,256.33,2002
611,HD 202206 c,17.9,,1260,2004
612,HD 203030 b,11,,,2017
613,HD 20367 b,1.07,,500,2002
614,HD 2039 b,6.11,,1120,2002
615,HD 204313 b,4.28,,2024.1,2009
616,HD 204313 c,0.0553,,34.905,2011
617,HD 204313 d,1.68,,2831.6,2012
618,HD 204941 b,0.266,,1733,2011
619,HD 205739 b,1.37,,279.8,2008
620,HD 206610 b,2.2,,610,2010
621,HD 206893 b,22.5,,,2016
622,HD 20781 b,0.0379,,29.15,2011
623,HD 20781 c,0.0496,,85.131,2011
624,HD 20782 b,1.9,,591.9,2006
625,HD 207832 b,0.56,,161.97,2012
626,HD 207832 c,0.73,,1155.7,2012
627,HD 20794 b,0.00887,,18.33,2011
628,HD 20794 d,0.0111,,88.9,2011
629,HD 20794 e,0.015,,147.02,2017
630,HD 208487 b,0.413,,129.8,2004
631,HD 208527 b,9.9,,875.5,2012
632,HD 20868 b,1.99,,380.85,2008
633,HD 208897 b,1.4,,352.7,2017
634,HD 209458 b,0.69,1.38,3.52472,1999
635,HD 210277 b,1.23,,442.1,1998
636,HD 210702 b,1.9,,354.8,2007
637,HD 211847 b,19.2,,7930,2011
638,HD 212301 b,0.4,1.07,2.245715,2005
639,HD 212771 b,2.3,,373.3,2010
640,HD 213240 b,4.5,,951,2001
641,HD 214823 b,19.2,,1877,2016
642,HD 215152 b,0.00628,,5.75942,2018
643,HD 215152 c,0.004801,,7.28345,2011
644,HD 215152 d,0.008511,,10.8642,2011
645,HD 215152 e,0.01091,,25.1968,2018
646,HD 215456 b,0.101,,191.99,2011
647,HD 215456 c,0.246,,2277,2011
648,HD 215497 b,0.02,,3.93404,2009
649,HD 215497 c,0.33,,567.94,2009
650,HD 216435 b,1.26,,1311,2002
651,HD 216437 b,1.82,,1256,2002
652,HD 216536 b,1.47,,148.6,2015
653,HD 216770 b,0.65,,118.45,2003
654,HD 21693 b,0.0322,,22.656,2011
655,HD 21693 c,0.06472,,53.881,2011
656,HD 217107 b,1.33,,7.12689,1998
657,HD 217107 c,2.49,,4210,1998
658,HD 217786 b,13,,1319,2010
659,HD 218566 b,0.21,,225.7,2010
660,HD 219077 b,10.39,,5501,2012
661,HD 219134 b,0.012,0.1433,3.0931,2015
662,HD 219134 c,0.011,,6.7635,2015
663,HD 219134 d,0.067,,46.71,2015
664,HD 219134 e,0.2,,1190,2015
665,HD 219134 g,0.034,,94.2,2015
666,HD 219134 h,0.28,,2198,2015
667,HD 219415 b,1,,2093.3,2012
668,HD 219828 b,0.0661,,3.834887,2007
669,HD 219828 c,15.1,,4791,2016
670,HD 220074 b,11.1,,672.1,2012
671,HD 220689 b,1.06,,2209,2011
672,HD 220773 b,1.45,,3724.7,2012
673,HD 220842 b,3.18,,218.47,2016
674,HD 221287 b,3.09,,456.1,2007
675,HD 221585 b,1.61,,1173,2016
676,HD 222076 b,1.56,,871,2016
677,HD 222155 b,1.9,,3999,2012
678,HD 222582 b,7.75,,572.38,1999
679,HD 224538 b,5.97,,1189.1,2016
680,HD 224693 b,0.71,,26.73,2006
681,HD 22781 b,13.65,,528.07,2011
682,HD 23079 b,2.45,,730.6,2001
683,HD 23127 b,1.5,,1214,2007
684,HD 231701 b,1.08,,141.89,2007
685,HD 233604 b,6.575,,192,2013
686,HD 23596 b,8.1,,1565,2002
687,HD 238914 b,6,,4100,2018
688,HD 240210 b,6.9,,501.75,2009
689,HD 240237 b,5.3,,745.7,2010
690,HD 24040 b,4.01,,3668,2006
691,HD 24064 b,9.4,,555.6,2015
692,HD 25171 b,0.95,,1845,2010
693,HD 2638 b,0.48,1.04,3.43752,2005
694,HD 27442 b,1.35,,415.2,2000
695,HD 27631 b,1.45,,2208,2011
696,HD 27894 b,0.665,,18.02,2005
697,HD 27894 c,0.162,,36.07,2017
698,HD 27894 d,5.415,,5174,2017
699,HD 28185 b,5.7,,383,2001
700,HD 28254 b,1.16,,1116,2009
701,HD 283668 b,53.4,,2558,2016
702,HD 284149 b,32,,,2014
703,HD 285507 b,0.917,,6.0881,2013
704,HD 28678 b,1.7,,387.1,2011
705,HD 29021 b,2.4,,1362.3,2017
706,HD 290327 b,2.54,,2443,2009
707,HD 2952 b,1.6,,311.6,2013
708,HD 30177 b,8.07,,2532.5,2002
709,HD 30177 c,3,,6921,2016
710,HD 30562 b,1.29,,1157,2009
711,HD 30669 b,0.47,,1684,2014
712,HD 30856 b,1.8,,912,2011
713,HD 31253 b,0.5,,466,2010
714,HD 31527 b,0.0363,,16.546,2011
715,HD 31527 c,0.0498,,51.284,2011
716,HD 31527 d,0.0519,,274.49,2011
717,HD 3167 b,0.0158,0.152,0.959641,2016
718,HD 3167 c,0.0308,0.269,29.8454,2016
719,HD 3167 d,0.0217,,8.492,2017
720,HD 32518 b,3.04,,157.54,2009
721,HD 32963 b,0.7,,2372,2015
722,HD 330075 b,0.62,1.06,3.6413,2004
723,HD 33142 b,1.3,,326.6,2011
724,HD 33283 b,0.33,0.99,18.1801,2006
725,HD 33564 b,9.1,,388,2005
726,HD 33844 b,1.96,,551.4,2013
727,HD 33844 c,1.75,,916,2015
728,HD 34445 b,0.629,,1056.7,2004
729,HD 34445 c,0.168,,214.67,2017
730,HD 34445 d,0.097,,117.87,2017
731,HD 34445 e,0.0529,,49.175,2017
732,HD 34445 f,0.119,,676.8,2017
733,HD 34445 g,0.38,,5700,2017
734,HD 35759 b,3.76,,82.467,2016
735,HD 3651 b,0.231,,62.218,2003
736,HD 3651 c,0.09,,31,2013
737,HD 37124 b,0.675,,154.378,1999
738,HD 37124 c,0.652,,885.5,2005
739,HD 37124 d,0.696,,1862,2003
740,HD 37605 b,2.813,,55.01307,2004
741,HD 37605 c,3.366,,2720,2012
742,HD 38283 b,0.34,,363.2,2011
743,HD 38529 b,0.93,,14.3104,2000
744,HD 38529 c,23.7,,2134.76,2002
745,HD 38801 b,10.7,,696.3,2010
746,HD 38858 b,0.0961,,407.15,2011
747,HD 39091 b,10.3,,2049,2001
748,HD 39194 b,0.0117,,5.6363,2011
749,HD 39194 c,0.0187,,14.025,2011
750,HD 39194 d,0.0162,,33.941,2011
751,HD 39392 b,13.2,,394.3,2016
752,HD 40307 b,0.012,,4.3115,2008
753,HD 40307 c,0.0202,,9.6207,2008
754,HD 40307 d,0.0275,,20.4184,2008
755,HD 40307 e,0.011,,34.62,2012
756,HD 40307 f,0.0114,,51.56,2012
757,HD 40307 g,0.0223,,197.8,2012
758,HD 40956 b,2.7,,578.6,2017
759,HD 40979 b,4.01,,264.1,2002
760,HD 41004 A b,2.54,,963,2004
761,HD 41004 B b,18.4,1.06,1.32363,2004
762,HD 4113 b,1.56,,526.62,2007
763,HD 41248 c,0.0223,,13.365,2013
764,HD 42012 b,1.6,,857.5,2017
765,HD 4203 b,1.82,,437.05,2001
766,HD 4203 c,2.17,,6700,2014
767,HD 4208 b,0.804,,828,2001
768,HD 42618 b,0.0453,,149.61,2016
769,HD 4308 b,0.0405,,15.609,2005
770,HD 4313 b,2.3,,356,2010
771,HD 43197 b,0.6,,327.8,2009
772,HD 43691 b,2.49,,36.96,2007
773,HD 44219 b,0.58,,472.3,2009
774,HD 45184 b,0.04,,5.8872,2011
775,HD 45350 b,1.79,,890.76,2004
776,HD 45364 b,0.1872,,226.93,2009
777,HD 45364 c,0.6579,,342.85,2009
778,HD 45652 b,0.47,,43.6,2008
779,HD 46375 b,0.23,1.02,3.02358,2000
780,HD 47186 b,0.07167,,4.0845,2008
781,HD 47186 c,0.35061,,1353.6,2008
782,HD 4732 b,2.37,,360.2,2013
783,HD 4732 c,2.37,,2732,2013
784,HD 47366 b,1.75,,363.3,2016
785,HD 47366 c,1.86,,684.7,2016
786,HD 4747 b,60.2,,13835.67,2016
787,HD 47536 b,5,,430,2003
788,HD 48265 b,1.16,,700,2008
789,HD 49674 b,0.1,0.98,4.94739,2002
790,HD 50499 b,1.71,,2482.7,2005
791,HD 50554 b,5.16,,1293,2002
792,HD 51608 b,0.0413,,14.07,2011
793,HD 51608 c,0.0565,,95.415,2011
794,HD 52265 b,1.05,,119.6,2000
795,HD 52265 c,0.35,,59.9,2013
796,HD 5319 b,1.94,,675,2007
797,HD 5319 c,1.15,,886,2016
798,HD 5583 b,5.78,,139.35,2016
799,HD 5608 b,1.4,,792.6,2012
800,HD 564 b,0.33,,492.3,2014
801,HD 5891 b,7.6,,177.11,2011
802,HD 59686 A b,6.92,,299.36,2003
803,HD 60532 b,9.21,,201.83,2008
804,HD 60532 c,21.8,,607.06,2008
805,HD 62509 b,2.9,,589.64,2006
806,HD 63454 b,0.39,1.06,2.81747,2005
807,HD 63765 b,0.64,,358,2009
808,HD 6434 b,0.39,,21.998,2000
809,HD 65216 b,1.26,,572.4,2003
810,HD 65216 c,0.17,,152.6,2011
811,HD 66141 b,6,,480.5,2012
812,HD 66428 b,2.82,,1973,2006
813,HD 67087 b,3.06,,352.2,2015
814,HD 67087 c,4.85,,2374,2015
815,HD 6718 b,1.56,,2496,2009
816,HD 68402 b,3.07,,1103,2016
817,HD 68988 b,1.86,,6.2771,2001
818,HD 69830 b,0.143,,8.667,2006
819,HD 69830 c,0.165,,31.56,2006
820,HD 69830 d,0.253,,197,2006
821,HD 70642 b,2,,2231,2003
822,HD 7199 b,0.29,,615,2011
823,HD 72659 b,3.15,,3658,2002
824,HD 72892 b,5.45,,39.475,2016
825,HD 73256 b,1.87,,2.54858,2003
826,HD 73267 b,3.06,,1260,2008
827,HD 73526 b,2.25,,188.9,2002
828,HD 73526 c,2.25,,379.1,2006
829,HD 73534 b,1.15,,1800,2009
830,HD 74156 b,1.778,,51.6385,2003
831,HD 74156 c,7.997,,2448.9,2003
832,HD 7449 b,1.11,,1275,2011
833,HD 7449 c,2,,4046,2011
834,HD 75289 b,0.47,1.03,3.50928,1999
835,HD 75784 b,1.15,,341.7,2014
836,HD 75784 c,5.6,,5040,2015
837,HD 75898 b,2.51,,418.2,2007
838,HD 76700 b,0.23,0.99,3.97101,2002
839,HD 76920 b,3.93,,415.4,2017
840,HD 77065 b,41,,119.1135,2016
841,HD 77338 b,0.5,,5.7561,2012
842,HD 7924 b,0.0273,1.05,5.39792,2009
843,HD 7924 c,0.0247,,15.299,2015
844,HD 7924 d,0.0203,,24.451,2015
845,HD 79498 b,1.34,,1966,2012
846,HD 80606 b,3.94,0.921,111.43637,2001
847,HD 81040 b,6.86,,1001.7,2005
848,HD 81688 b,1.77,,184.02,2008
849,HD 82886 b,1.3,,705,2011
850,HD 82943 b,14,,442.4,2003
851,HD 82943 c,14.4,,219.3,2003
852,HD 82943 d,0.29,,1078,2013
853,HD 83443 b,0.4,1.04,2.98572,2002
854,HD 8535 b,0.68,,1313,2009
855,HD 85390 b,0.132,,788,2009
856,HD 85390 c,0.2,,3700,2013
857,HD 85512 b,0.011,,58.43,2011
858,HD 8574 b,2.11,,227.55,2003
859,HD 86081 b,1.5,1.08,1.99809,2006
860,HD 86226 b,1.5,,1534,2010
861,HD 86264 b,7,,1475,2009
862,HD 8673 b,14.2,,1634,2010
863,HD 86950 b,3.6,,1270,2016
864,HD 87646 A b,12.4,,13.481,2016
865,HD 87646 A c,57,,674,2016
866,HD 87883 b,81.9,,2754,2009
867,HD 88133 b,0.3,1,3.41566,2004
868,HD 89307 b,2,,2199,2004
869,HD 89744 b,8.9,,256,2000
870,HD 89744 c,3.2,,85.2,2013
871,HD 90156 b,0.057,,49.77,2009
872,HD 9174 b,1.11,,1179,2016
873,HD 92788 b,27.7,,325.81,2000
874,HD 92788 c,0.9,,162,2013
875,HD 93083 b,0.37,,143.58,2005
876,HD 93385 b,0.0263,,13.186,2011
877,HD 93385 c,0.0318,,46.025,2011
878,HD 9446 b,0.7,,30.052,2010
879,HD 9446 c,1.82,,192.9,2010
880,HD 95086 b,4.4,,,2013
881,HD 95089 b,1.2,,507,2010
882,HD 95127 b,5.01,,482,2015
883,HD 9578 b,0.62,,494,2009
884,HD 95872 b,4.6,,4375,2015
885,HD 96063 b,0.9,,361.1,2011
886,HD 96127 b,4,,647.3,2011
887,HD 96167 b,0.68,,498.9,2009
888,HD 96700 b,0.0284,,8.1256,2011
889,HD 96700 c,0.04,,103.49,2011
890,HD 97658 b,0.023754837,0.200464271,9.4903,2010
891,HD 98219 b,1.8,,436.9,2011
892,HD 984 b,65,,,2017
893,HD 98649 b,6.8,,4951,2011
894,HD 99109 b,0.502,,439.3,2006
895,HD 99492 b,0.079,,17.054,2004
896,HD 99706 b,1.4,,868,2011
897,HD169142 b,30,,,2014
898,HII 1348 b,59,,,2012
899,HIP 105854 b,8.2,,184.2,2014
900,HIP 107773 b,1.98,,144.3,2015
901,HIP 109384 b,1.56,,499.48,2016
902,HIP 109600 b,2.68,,232.08,2016
903,HIP 116454 b,0.0372,0.226,9.1265,2014
904,HIP 11915,0.99,,3830,2015
905,HIP 12961 b,0.35,,57.435,2009
906,HIP 14810 b,3.88,,6.673855,2006
907,HIP 14810 c,1.28,,147.73,2006
908,HIP 14810 d,0.57,,962,2009
909,HIP 41378 b,,0.26,15.5712,2016
910,HIP 41378 c,,0.228,31.6978,2016
911,HIP 41378 d,,0.353,157,2016
912,HIP 41378 e,,0.492,131,2016
913,HIP 41378 f,,0.91,324,2016
914,HIP 5158 b,1.44,,345.63,2009
915,HIP 5158 c,15.04,,9018,2010
916,HIP 57050 b,0.298,,41.397,2010
917,HIP 57274 b,0.036,,8.1352,2011
918,HIP 57274 c,0.41,,32.03,2011
919,HIP 57274 d,0.527,,431.7,2011
920,HIP 63242 b,9.18,,124.6,2013
921,HIP 65407 b,0.428,,28.125,2016
922,HIP 65407 c,0.784,,67.3,2016
923,HIP 65426,9,1.5,,2017
924,HIP 65891 b,6,,1084.5,2015
925,HIP 67537 b,11.1,,2592.5,2016
926,HIP 67851 b,1.38,,88.9,2014
927,HIP 67851 c,5.98,,2131.8,2015
928,HIP 68468 b,0.011,,1.8372,2016
929,HIP 68468 c,0.094,,194,2016
930,HIP 70849 b,9,,10000,2009
931,HIP 73990 b,21,,,2015
932,HIP 73990 c,22,,,2015
933,HIP 74865 b,28,,,2015
934,HIP 74890 b,2.4,,822.3,2016
935,HIP 75458 b,9.39,,510.72,2002
936,HIP 77900 b,20,,,2013
937,HIP 78530 b,23.04,,,2011
938,HIP 79431 b,2.1,,111.7,2010
939,HIP 8541 b,5.59,,1560,2016
940,HIP 91258 b,1.068,,5.0505,2013
941,HIP 97233 b,20,,1058.8,2014
942,HN Peg b,16,1.1,,2007
943,HR 2562 b,30,,,2016
944,HR 3549 b,45,,,2015
945,HR 7329,35,,,2000
946,HR 810 b,2.26,,320.1,1999
947,HR 8799 b,7,1.2,164250,2008
948,HR 8799 c,10,1.3,82145,2008
949,HR 8799 d,10,1.2,41054,2008
950,HR 8799 e,9,,18000,2010
951,HU Aqr (AB) c,5.9,,5646,2011
952,HW Vir (AB) b,14.3,,4640,2008
953,J1324+63,11.5,1.23,,2018
954,J1433 b,57.1,,0.054,2016
955,K2-10 b,0.085,0.343,19.3044,2016
956,K2-105 b,0.094,0.32,8.266902,2017
957,K2-106 b,0.0263,0.136,0.571292,2016
958,K2-106 c,0.018,0.22,13.3397,2016
959,K2-108 b,0.187,0.471,4.73401,2016
960,K2-11 b,,0.674,39.93767,2015
961,K2-110 b,0.0525,0.2312,13.86375,2017
962,K2-12 b,,0.208,8.28212,2015
963,K2-13 b,,0.169,39.91488,2015
964,K2-136 b,,0.088,7.975292,2017
965,K2-136 c,,0.267,17.307137,2017
966,K2-136 d,,1.45,25.575065,2017
967,K2-137 b,0.7,0.079,0.179715,2017
968,K2-139 b,0.381,0.812,28.38229,2017
969,K2-14 b,,0.429,8.36802,2015
970,K2-15 b,,0.221,11.8104,2015
971,K2-16 b,,0.18,7.6188,2015
972,K2-16 c,,0.227,19.07863,2015
973,K2-17 b,,0.199,17.96753,2015
974,K2-18 b,0.025,0.2,32.93963,2015
975,K2-18 c,0.0236,,8.962,2017
976,K2-19 b,0.187,0.691,7.9194,2015
977,K2-19 c,0.031,0.434,11.90715,2015
978,K2-19 d,,0.102,2.50856,2015
979,K2-24 b,0.0661,0.52,20.8851,2015
980,K2-24 c,0.085,0.723,42.36342,2015
981,K2-26 b,,0.238,14.5665,2015
982,K2-27 b,0.0972,0.397,6.77145,2016
983,K2-28 b,,0.207,2.260455,2015
984,K2-29 b,0.73,1.19,3.2588321,2016
985,K2-3  b,0.026,0.194,10.05449,2015
986,K2-3 c,0.0066,0.165,24.64354,2015
987,K2-3 d,0.0349,0.135,44.5598,2015
988,K2-30 b,0.624,1.196,4.098507,2016
989,K2-31 b,1.774,1.06,1.25785,2016
990,K2-32 b,0.0519,0.48,8.99218,2015
991,K2-32 c,0.04,0.31,20.65614,2015
992,K2-32 d,0.0343,0.335,31.71922,2015
993,K2-33 b,3.6,0.451,5.42513,2016
994,K2-34 b,1.78,1.35,2.995607,2016
995,K2-35 b,,0.0964,2.39991,2015
996,K2-35 c,,0.151,5.60906,2015
997,K2-39 b,0.125,0.73,4.60543,2016
998,K2-4 b,,0.211,10.00329,2015
999,K2-5 b,,0.171,5.73491,2015
1000,K2-5 c,,0.171,10.93406,2015
1001,K2-6 b,,0.223,30.94191,2015
1002,K2-60 b,0.426,0.683,3.00265,2016
1003,K2-66 b,0.067,0.222,5.06963,2017
1004,K2-7 b,,0.238,28.67992,2015
1005,K2-77 b,1.9,0.205,8.199796,2016
1006,K2-8 b,,0.319,10.35239,2015
1007,K2-9 b,,0.143,18.44883,2015
1008,K2-95 b,1.67,0.33,10.134588,2016
1009,K2-97 b,1.1,1.31,8.4061,2016
1010,K2-99 b,0.97,1.29,18.249,2016
1011,KELT-1 b,27.38,1.116,1.217514,2012
1012,KELT-10 b,0.679,1.399,4.166285,2015
1013,KELT-11 b,0.195,1.37,4.736529,2016
1014,KELT-15 b,0.92,1.443,3.329441,2015
1015,KELT-16 b,2.75,1.415,0.9689951,2016
1016,KELT-17 b,1.31,1.525,3.0801716,2015
1017,KELT-18 b,1.18,1.57,2.8717518,2017
1018,KELT-19 A b,4.07,1.91,4.6117093,2017
1019,KELT-2 A b,1.486,1.306,4.1137914,2012
1020,KELT-20 b,3.518,1.735,3.4741085,2017
1021,KELT-21 b,3.91,1.586,3.6127647,2017
1022,KELT-3 b,1.418,1.333,2.7033902,2012
1023,KELT-4 A b,0.884,1.706,2.9895933,2013
1024,KELT-6 b,0.442,1.18,7.845582,2013
1025,KELT-6 c,3.71,,1276,2015
1026,KELT-7 b,1.29,1.533,2.7347749,2015
1027,KELT-8 b,0.874,1.86,3.24406,2015
1028,KIC 10001893 b,,,0.2197,2014
1029,KIC 10001893 d,,,0.81161,2014
1030,KIC 10024862 b,,0.49,567.0445,2015
1031,KIC 10255705 b,,0.65,707.3793,2013
1032,KIC 10905746 b,,0.237,9.8844,2011
1033,KIC 11152511 b,,0.36,287.363,2013
1034,KIC 12454613 b,,0.228,736.3819,2013
1035,KIC 12557548 b,6.30E-05,0.075832056,0.653553,2012
1036,KIC 5010054 b,,0.62,904.24,2013
1037,KIC 5094412 b,,0.51,276.88,2013
1038,KIC 5095269(AB) b,7.698,,237.70817,2017
1039,KIC 5522786 b,,0.11,757.1639,2013
1040,KIC 5732155 b,,1.14,644.1685,2013
1041,KIC 6185331 b,,0.529,49.76971,2011
1042,KIC 6372194 b,,0.74,281.5848,2013
1043,KIC 6436029 b,,0.274,505.45,2013
1044,KIC 7917485 b,11.8,,840,2016
1045,KIC 8012732 b,,0.87,431.4681,2015
1046,KIC 9413313 b,,,,2015
1047,KIC 9662267 b,,0.34,466.202,2013
1048,KIC 9704149 b,,0.4,697.0159,2013
1049,KOI-1089.02,0.64,0.625,12.21826,2014
1050,KOI-1299 c,2.63,,411,2014
1051,KOI-1843 b,0.001,0.052,0.1768913,2013
1052,KOI-188 b,0.25,0.978,3.79701816,2014
1053,KOI-192 b,0.29,1.23,10.290994,2014
1054,KOI-195 b,0.34,1.09,3.21751883,2014
1055,KOI-2700 b,0.002705849,0.094567035,0.910022,2013
1056,KOI-368.01,,1.83,110.3216,2014
1057,KOI-415 b,62.14,0.79,166.78805,2013
1058,KOI-4427.01,,0.164,147.6606,2015
1059,KOI-5833 b,,0.31,440.167,2015
1060,KOI-5929 b,,0.37,466.0001,2015
1061,KOI-620.02,0.023912154,0.865377581,130.194,2014
1062,KOI-682 b,,0.88,562.70945,2015
1063,KOI-771 b,,1.23,670.6502,2015
1064,KOI-830 b,1.27,1.08,3.52563254,2014
1065,Kapteyn's b,0.015102413,,48.616,2014
1066,Kapteyn's c,0.022024353,,121.54,2014
1067,Kepler 1651 A b,,0.164,9.87863917,2017
1068,Kepler-10 b,0.010477299,0.1314,0.83749026,2011
1069,Kepler-10 c,0.054118366,0.2072,45.294301,2011
1070,Kepler-100 b,0.0231,0.1164,6.887037,2014
1071,Kepler-100 c,0.0027,0.1981,12.815909,2014
1072,Kepler-100 d,0.0094,0.1351,35.33313,2014
1073,Kepler-1000 b,,0.425,120.0181272,2016
1074,Kepler-1001 b,,0.281,14.30511983,2016
1075,Kepler-1002 b,,0.153,4.33642933,2016
1076,Kepler-1003 b,,0.159,3.55485691,2016
1077,Kepler-1004 b,,0.56,5.28789787,2016
1078,Kepler-1005 b,,0.134,6.49801525,2016
1079,Kepler-1006 b,,0.137,19.76172042,2016
1080,Kepler-1007 b,,0.128,5.18500207,2016
1081,Kepler-1008 b,,0.114,12.43931193,2016
1082,Kepler-1009 b,,0.194,11.35011917,2016
1083,Kepler-101 b,,0.524,3.487691,2014
1084,Kepler-101 c,,0.119,6.029809,2014
1085,Kepler-1010 b,,0.207,34.2685705,2016
1086,Kepler-1011 b,,0.256,5.75322197,2016
1087,Kepler-1012 b,,0.115,5.50860439,2016
1088,Kepler-1013 b,,0.192,18.93054959,2016
1089,Kepler-1014 b,,0.213,16.57110363,2016
1090,Kepler-1015 b,,0.317,16.00494214,2016
1091,Kepler-1016 b,,0.194,1.95452434,2016
1092,Kepler-1016 c,,0.328,105.6551369,2016
1093,Kepler-1017 b,,0.178,7.23400469,2016
1094,Kepler-1018 b,,0.23,49.1013514,2016
1095,Kepler-1019 b,,0.13,1.41122985,2016
1096,Kepler-102 b,0.0013,0.042,5.28696,2014
1097,Kepler-102 c,0.009,0.052,7.07142,2013
1098,Kepler-102 d,0.0082,0.104,10.3117,2014
1099,Kepler-102 e,0.0281,0.198,16.14569,2013
1100,Kepler-102 f,0.002,0.079,27.4536,2013
1101,Kepler-1020 b,,0.203,96.9151496,2016
1102,Kepler-1021 b,,0.208,13.47469571,2016
1103,Kepler-1022 b,,0.211,10.99469878,2016
1104,Kepler-1023 b,,0.235,62.1387714,2016
1105,Kepler-1024 b,,0.349,66.4162133,2016
1106,Kepler-1025 b,,0.177,37.3229493,2016
1107,Kepler-1026 b,,0.197,36.5156053,2016
1108,Kepler-1027 b,,0.079,1.9078052,2016
1109,Kepler-1028 b,,0.119,2.51462432,2016
1110,Kepler-1029 b,,0.112,4.41769648,2016
1111,Kepler-103 b,0.031,0.3101,15.965316,2014
1112,Kepler-103 c,0.114,0.4745,179.6133,2014
1113,Kepler-1030 b,,0.221,19.32952416,2016
1114,Kepler-1031 b,,0.078,1.22621732,2016
1115,Kepler-1032 b,,0.167,3.29011795,2016
1116,Kepler-1033 b,,0.224,7.56052806,2016
1117,Kepler-1034 b,,0.202,12.12400943,2016
1118,Kepler-1035 b,,0.104,2.71407755,2016
1119,Kepler-1036 b,,0.269,122.8808058,2016
1120,Kepler-1037 b,,0.114,1.06378867,2016
1121,Kepler-1038 b,,0.315,148.4603382,2016
1122,Kepler-1039 b,,0.13,0.93488424,2016
1123,Kepler-104 b,,0.277,11.427548,2014
1124,Kepler-104 c,,0.279,23.668205,2014
1125,Kepler-104 d,,0.319,51.755394,2014
1126,Kepler-1040 b,,0.186,201.1214,2016
1127,Kepler-1041 b,,0.262,24.7576421,2016
1128,Kepler-1042 b,,0.195,10.13202575,2016
1129,Kepler-1043 b,,0.227,38.5053398,2016
1130,Kepler-1044 b,,0.238,6.77408868,2016
1131,Kepler-1045 b,,0.24,26.41045478,2016
1132,Kepler-1046 b,,0.153,14.37508035,2016
1133,Kepler-1047 b,,0.186,56.1886887,2016
1134,Kepler-1047 c,,0.088,3.18897601,2016
1135,Kepler-1048 b,,0.144,6.92101021,2016
1136,Kepler-1049 b,,0.085,3.27346074,2016
1137,Kepler-105 c,0.014,0.117,7.125939,2014
1138,Kepler-1050 b,,0.143,15.3787546,2016
1139,Kepler-1050 c,,0.132,21.1284569,2016
1140,Kepler-1051 b,,0.303,25.96200249,2016
1141,Kepler-1052 b,,0.261,34.8538276,2016
1142,Kepler-1053 b,,0.087,2.41435165,2016
1143,Kepler-1054 b,,0.235,4.30655689,2016
1144,Kepler-1055 b,,0.11,2.29503623,2016
1145,Kepler-1056 b,,0.269,27.495606,2016
1146,Kepler-1057 b,,0.3,14.08827448,2016
1147,Kepler-1058 b,,0.243,110.96546,2016
1148,Kepler-1059 b,,0.154,3.76419105,2016
1149,Kepler-106 b,0.00047,0.073,6.16486,2014
1150,Kepler-106 c,0.03285,0.223,13.5708,2014
1151,Kepler-106 d,0.025,0.085,23.9802,2014
1152,Kepler-106 e,0.03514,0.228,43.8445,2014
1153,Kepler-1060 b,,0.212,46.8779367,2016
1154,Kepler-1061 b,,0.177,2.75798267,2016
1155,Kepler-1062 b,,0.157,9.30412078,2016
1156,Kepler-1063 b,,0.133,14.07971466,2016
1157,Kepler-1064 b,,0.138,16.54080322,2016
1158,Kepler-1065 b,,0.333,3.60930891,2016
1159,Kepler-1065 c,,0.143,2.37030743,2016
1160,Kepler-1066 b,,0.211,1.93155984,2016
1161,Kepler-1067 b,,0.071,0.76212926,2016
1162,Kepler-1068 b,,0.324,16.92344113,2016
1163,Kepler-1069 b,,0.143,23.8990296,2016
1164,Kepler-107 b,,0.141,3.180026,2014
1165,Kepler-107 c,,0.1485,4.901441,2014
1166,Kepler-107 d,,0.09492,7.95825,2014
1167,Kepler-107 e,,0.261,14.749176,2014
1168,Kepler-1070 b,,0.154,6.2216147,2016
1169,Kepler-1071 b,,0.212,6.1799844,2016
1170,Kepler-1072 b,,0.141,1.5690665,2016
